kepid,plnt num,kname,dispos,GB_vif,DT
1849702,1,K02538.01,CAND,-,0.493
9334893,1,K02298.01,CAND,-,0.492
9517393,1,K02076.01,CAND,-,0.491
11968463,4,K02433.04,CAND,-,0.49
8409588,1,K00690.01,FP,-,0.49
9489524,4,K02029.04,CAND,-,0.489
8894646,1,K02641.01,CAND,-,0.485
9032900,2,-,-,-,0.481
9086154,1,K04060.01,CAND,-,0.481
4770365,3,K01475.03,CAND,-,0.48
12301181,2,K02059.02,CAND,-,0.476
2852941,1,K04298.01,CAND,-,0.476
8260218,1,K01066.01,CAND,-,0.475
9700145,4,-,-,-,0.474
7880676,2,-,-,-,0.473
7222086,1,K01701.01,CAND,-,0.469
12164634,2,-,-,-,0.466
11246161,1,K02796.01,CAND,-,0.465
3448132,2,-,-,-,0.462
6721523,5,-,-,-,0.462
4739229,2,-,-,-,0.456
